Provincia,Confirmado,%Confirmado,Fallecidos
Azuay,2.510,"3,95%",70
Bolívar,935,"1,47%",47
Cañar,632,"1,00%",48
Carchi,528,"0,83%",20
Chimborazo,1.081,"1,70%",182
Cotopaxi,1.596,"2,51%",151
El Oro,2.580,"4,06%",312
Esmeraldas,2.854,"4,50%",165
Galápagos,101,"0,16%",1
Guayas,16.920,"26,65%",1.641
Imbabura,1.002,"1,58%",54
Loja,1.566,"2,47%",59
Los Ríos,2.693,"4,24%",314
Manabí,5.543,"8,73%",712
Morona Santiago,1.467,"2,31%",13
Napo,786,"1,24%",42
Orellana,1.060,"1,67%",30
Pastaza,1.061,"1,67%",36
Pichincha,11.478,"18,08%",630
Santa Elena,1.092,"1,72%",328
Sto. Domingo Tsáchilas,2.808,"4,42%",187
Sucumbíos,798,"1,26%",25
Tungurahua,1.615,"2,54%",156
Zamora Chinchipe,782,"1,23%",27
Total general,63.488,100%,5.250
