provincia,anio_mes,linaje,cantidad,latitud,longitud
Azuay,2020-08-01,B.1,2,-2.894307,-78.996834
Azuay,2020-08-01,B.1.1.1,1,-2.894307,-78.996834
Azuay,2020-08-01,B.1.223,1,-2.894307,-78.996834
Azuay,2021-01-01,B,3,-2.894307,-78.996834
Azuay,2021-01-01,B.1.111,1,-2.894307,-78.996834
Azuay,2021-06-01,B.1.1,1,-2.894307,-78.996834
Azuay,2021-06-01,B.1.1.7,1,-2.894307,-78.996834
Azuay,2021-12-01,Ba.1.1,1,-2.894307,-78.996834
Azuay,2021-12-01,Ba.1.19,1,-2.894307,-78.996834
Azuay,2022-01-01,Ba.1.1,5,-2.894307,-78.996834
Azuay,2022-01-01,Ba.1.14,4,-2.894307,-78.996834
Azuay,2022-01-01,B.1.1,1,-2.894307,-78.996834
Azuay,2022-01-01,Ba.1.1.11,1,-2.894307,-78.996834
Azuay,2022-01-01,Ba.1.1.15,1,-2.894307,-78.996834
Azuay,2022-01-01,Ba.1.15,1,-2.894307,-78.996834
Azuay,2022-02-01,Ba.1,1,-2.894307,-78.996834
Azuay,2022-02-01,Ba.1.1,1,-2.894307,-78.996834
Azuay,2022-02-01,Ba.1.1.11,1,-2.894307,-78.996834
Azuay,2022-02-01,Ba.1.16,1,-2.894307,-78.996834
Azuay,2022-02-01,Ba.1.20,1,-2.894307,-78.996834
Azuay,2022-03-01,Ba.1.1.14,1,-2.894307,-78.996834
Bolivar,2020-08-01,B.1.1.1,2,-1.709583,-79.045043
Bolivar,2020-08-01,B.1.1,1,-1.709583,-79.045043
Bolivar,2021-07-01,B.1.621,3,-1.709583,-79.045043
Bolivar,2021-07-01,B.1,1,-1.709583,-79.045043
Bolivar,2021-10-01,Ay.99.2,2,-1.709583,-79.045043
Canar,2020-09-01,B.1.1,1,-2.558931,-78.938819
Canar,2021-01-01,B,1,-2.558931,-78.938819
Canar,2021-01-01,B.1.1,1,-2.558931,-78.938819
Canar,2022-03-01,Ba.2.5,1,-2.558931,-78.938819
Carchi,2020-07-01,B.1.1,1,0.502691,-77.904252
Carchi,2021-05-01,B.1.1.7,4,0.502691,-77.904252
Carchi,2021-05-01,B,3,0.502691,-77.904252
Carchi,2021-05-01,C.37,3,0.502691,-77.904252
Carchi,2021-05-01,B.1.1.348,2,0.502691,-77.904252
Carchi,2021-05-01,P.1,2,0.502691,-77.904252
Carchi,2021-05-01,A.2.5.3,1,0.502691,-77.904252
Carchi,2021-05-01,B.1,1,0.502691,-77.904252
Carchi,2021-05-01,B.1.1,1,0.502691,-77.904252
Carchi,2021-05-01,B.1.526,1,0.502691,-77.904252
Carchi,2021-05-01,B.1.621,1,0.502691,-77.904252
Carchi,2021-07-01,B.1,2,0.502691,-77.904252
Carchi,2021-07-01,B.1.526,2,0.502691,-77.904252
Carchi,2021-07-01,B.1.621,1,0.502691,-77.904252
Carchi,2021-07-01,P.1,1,0.502691,-77.904252
Carchi,2021-08-01,B.1,3,0.502691,-77.904252
Carchi,2021-08-01,Ay.122,1,0.502691,-77.904252
Chimborazo,2020-07-01,B.1.1,3,-1.664799,-78.654325
