latitud,longitud,provincia
-2.894307,-78.996834,Azuay
-1.709583,-79.045043,Bolivar
-2.558931,-78.938819,Canar
0.502691,-77.904252,Carchi
-0.838421,-78.666268,Cotopaxi
-1.664799,-78.654325,Chimborazo
-3.259241,-79.958354,El Oro
0.968179,-79.65172,Esmeraldas
-1.957484,-79.91927,Guayas
0.349977,-78.126013,Imbabura
-3.995206,-79.202212,Loja
-1.023061,-79.46089,Los Rios
-1.054343,-80.452644,Manabi
-2.305106,-78.114687,Morona Santiago
-0.995596,-77.812968,Napo
-1.488226,-78.003106,Pastaza
-0.146485,-78.475194,Pichincha
-1.263528,-78.566085,Tungurahua
-4.065589,-78.950352,Zamora Chinchipe
-0.953769,-90.965602,Galapagos
0.088923,-76.889756,Sucumbios
-0.454516,-76.995029,Orellana
-0.253841,-79.176331,Santo Domingo
-2.22689,-80.859384,Santa Elena
