cod_parroquia	parroquia
PR10101	Bellavista
PR10102	Canaribamba
PR10103	El Batan
PR10104	El Sagrario
PR10105	El Vecino
PR10106	Gil Ramirez Davalos
PR10107	Huaynacapac
PR10108	Machangara
PR10109	Monay
PR10110	San Blas
PR10111	San Sebastian
PR10112	Sucre
PR10113	Totoracocha
PR10114	Yanuncay
PR10115	Hermano Miguel
PR10150	Cuenca
PR10151	Banos
PR10152	Cumbe
PR10153	Chaucha
PR10154	Checa (Jidcay)
PR10155	Chiquintad
PR10156	Llacao
PR10157	Molleturo
PR10158	Nulti
PR10159	Octavio Cordero Palacios (Santa Rosa)
PR10160	Paccha
PR10161	Quingeo
PR10162	Ricaurte
PR10163	San Joaquin
PR10164	Santa Ana
PR10165	Sayausi
PR10166	Sidcay
PR10167	Sinincay
PR10168	Tarqui
PR10169	Turi
PR10170	Valle
PR10171	Victoria Del Portete (Irquis)
PR10250	Giron
PR10251	Asuncion
PR10252	San Gerardo
PR10350	Gualaceo
PR10351	Chordeleg
PR10352	Daniel Cordova Toral (El Oriente)
PR10353	Jadan
PR10354	Mariano Moreno
PR10355	Principal
PR10356	Remigio Crespo Toral (Gulag)
PR10357	San Juan
PR10358	Zhidmad
PR10359	Luis Cordero Vega
PR10360	Simon Bolivar (Cab. En Gananzol)
PR10450	Nabon
PR10451	Cochapata
PR10452	El Progreso (Cab.En Zhota)
PR10453	Las Nieves (Chaya)
PR10454	Ona
PR10550	Paute
PR10551	Amaluza
PR10552	Bulan (Jose Victor Izquierdo)
PR10553	Chican (Guillermo Ortega)
PR10554	El Cabo
PR10555	Guachapala
PR10556	Guarainag
PR10557	Palmas
PR10558	Pan
PR10559	San Cristobal (Carlos Ordonez Lazo)
PR10560	Sevilla De Oro
PR10561	Tomebamba
PR10562	Dug Dug
PR10650	Pucara
PR10651	Camilo Ponce Enriquez (Cab. En Rio 7 De Mollepongo)
PR10652	San Rafael De Sharug
PR10750	San Fernando
PR10751	Chumblin
PR10850	Santa Isabel (Chaguarurco)
PR10851	Abdon Calderon (La Union)
PR10852	El Carmen De Pijili
PR10853	Zhaglli (Shaglli)
PR10854	San Salvador De Canaribamba
PR10950	Sigsig
PR10951	Cuchil (Cutchil)
PR10952	Gima
PR10953	Guel
PR10954	Ludo
PR10955	San Bartolome
PR10956	San Jose De Raranga
PR11050	San Felipe De Ona Cabecera Cantonal
PR11051	Susudel
PR11150	Chordeleg
PR11151	Principal
PR11152	La Union
PR11153	Luis Galarza Orellana (Cab.En Delegsol)
PR11154	San Martin De Puzhio
PR11250	El Pan
PR11251	Amaluza
